#Trust & Relationship Beliefs#

###TABLE_START###
No.|Set 1|Set 2
1.|I cannot trust anyone.|I will be betrayed.
2.|Trust makes me weak.|Love always leads to pain.
3.|I must rely only on myself.|If I open my heart, I will be hurt.
4.|Relationships are unsafe.|Connection is dangerous.
5.|Closeness leads to loss.|I will be rejected if I show my true self.
6.|Others will use me.|My needs are a burden.
7.|I am unlovable.|I am unworthy of affection.
8.|Bonds never last.|I am destined to be alone.
9.|If I depend on others, I will suffer.|I must give everything to be accepted.
10.|Love cannot be trusted.|Partnership means losing myself.
11.|If I forgive, I will be hurt again.|Loyalty is never returned.
12.|I have to hide my feelings to stay safe.|Vulnerability is dangerous.
13.|Intimacy means pain.|People I love will leave me.
14.|I can’t rely on my herd/flock/pack.|Support will always fail me.
15.|I am safer without connection.|Love fades once it is given.
16.|If I share my truth, I’ll be misunderstood.|Emotional closeness always ends in loss.
17.|No one will understand my heart.|Needing others makes me weak.
18.|If I let go, I’ll be abandoned.|Affection always comes with pain.
19.|The more I love, the more I’ll lose.|It’s better to stay distant than risk being hurt.
20.|I can only count on myself to survive.|Every bond eventually breaks.
###TABLE_END###
