#Performance & Expectations#

###TABLE_START###
No. |SECTION 1 — (1–20) |No. |SECTION 2 — (21–40)
1. |I must perform perfectly |21. |I must always try harder
2. |Mistakes make me unworthy |22. |Failure means rejection
3. |I cannot meet expectations |23. |I must hide my struggles
4. |I must not disappoint others |24. |I am not allowed to slow down
5. |I am never good enough |25. |My best is not enough
6. |I must push past my limits |26. |I will be corrected if I fail
7. |I am judged for every action |27. |I must act perfectly at all times
8. |I must earn approval through performance |28. |I am only valued for how well I do
9. |I am responsible for others’ expectations |29. |I will be judged for resting
10. |I cannot show fatigue |30. |I must exceed what is asked of me
11. |I cannot ask for help |31. |My value depends on my performance
12. |I must always be useful |32. |I must anticipate what is expected of me
13. |I cannot say no to tasks |33. |I must not show weakness
14. |I must meet impossible standards |34. |I cannot choose my own pace
15. |I must prove myself constantly |35. |I am only safe when performing well
16. |I am wrong if I fail |36. |I must sacrifice myself to meet expectations
17. |I cannot stop until others are satisfied |37. |I am a burden if I slow down
18. |I must not make anyone wait |38. |Expectations matter more than my wellbeing
19. |I am defined by my performance |39. |If I can’t perform, I lose my worth
20. |I must be flawless to be accepted |40. |I am nothing without achievement
###TABLE_END###
